Index;A;B;C;D;E;F;G;H;I;J
1;29,6;29,6;29,5;29,6;29,6;29,6;29,6;29,6;29,8;29,9
2;29,6;29,6;29,5;29,6;29,5;29,5;29,6;29,8;29,8;29,9
3;29,8;29,6;29,8;29,7;29,7;29,8;29,7;29,7;29,8;30,1
4;29,9;30,0;30,0;29,7;29,8;30,0;29,6;30,0;30,0;29,9
5;29,8;29,8;30,0;29,9;29,8;30,0;30,0;30,0;30,1;30,1
6;29,8;30,0;30,0;30,0;30,0;30,0;30,0;30,2;30,1;30,1
7;30,0;30,0;30,0;29,9;30,0;30,0;30,1;30,1;30,0;30,0
8;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,0;30,1;30,1
9;29,8;29,8;29,7;29,7;29,7;29,8;29,8;30,0;30,1;29,9
10;29,8;29,8;29,6;29,6;29,5;29,8;29,9;29,8;30,1;30,0
11;29,5;29,5;29,5;29,6;29,6;29,6;29,5;29,7;29,9;29,9
12;29,5;29,6;29,6;29,6;29,5;29,6;29,6;29,6;29,6;29,8
